season,division,date,home,away,home_goals,away_goals,game_nr,team1_home,home_timediff,away_timediff,home_round,away_round,season_first,home_nr,away_nr
2017,1,2017-09-01,Spain,Montenegro,99,60,224,0,7,6,10,14,0,74,53
2017,1,2017-09-01,Serbia,Latvia,92,82,225,0,19,8,3,8,0,69,48
2017,1,2017-09-01,Hungary,Croatia,58,67,226,0,6,8,19,6,0,34,19
2017,1,2017-09-01,Belgium,Great Britain,103,90,227,0,9,6,16,14,0,8,31
2017,1,2017-09-02,Israel,Lithuania,73,88,228,0,2,2,14,11,0,41,50
2017,1,2017-09-02,Great Britain,Turkey,70,84,229,0,1,1,15,9,0,31,79
2017,1,2017-09-02,Croatia,Romania,74,58,230,0,1,1,7,9,0,19,65
2017,1,2017-09-02,Finland,Slovenia,78,81,231,0,2,2,9,15,0,27,71
2017,1,2017-09-02,Ukraine,Italy,66,78,232,0,2,2,15,8,0,82,42
2017,1,2017-09-02,Czech Republic,Spain,56,93,233,0,1,1,11,11,0,21,74
2017,1,2017-09-02,Russia,Serbia,75,72,234,0,1,1,12,4,0,66,69
2017,1,2017-09-02,Greece,France,87,95,235,0,2,2,7,10,0,32,28
2017,1,2017-09-02,Georgia,Germany,57,67,236,0,2,2,13,13,0,29,30
2017,1,2017-09-02,Montenegro,Hungary,72,48,237,0,1,1,15,20,0,53,34
2017,1,2017-09-02,Latvia,Belgium,92,64,238,0,1,1,9,17,0,48,8
2017,1,2017-09-02,Poland,Iceland,91,61,239,0,2,2,14,16,0,61,35
2017,1,2017-09-03,Germany,Israel,80,82,240,0,1,1,14,15,0,30,41
2017,1,2017-09-03,Finland,Poland,90,87,241,0,1,1,10,15,0,27,61
2017,1,2017-09-03,Lithuania,Italy,78,73,242,0,1,1,12,9,0,50,42
2017,1,2017-09-03,Slovenia,Greece,78,72,243,0,1,1,16,8,0,71,32
2017,1,2017-09-03,Georgia,Ukraine,81,88,244,0,1,1,14,16,0,29,82
2017,1,2017-09-03,France,Iceland,115,79,245,0,1,1,11,17,0,28,35
2017,1,2017-09-04,Serbia,Turkey,80,74,246,0,2,2,5,10,0,69,79
2017,1,2017-09-04,Spain,Romania,91,50,247,0,2,2,12,10,0,74,65
2017,1,2017-09-04,Montenegro,Croatia,72,76,248,0,2,2,16,8,0,53,19
