date,home,away,home_score,away_score
28.06. 16:40,Israel,Greece,78,96
28.06. 16:30,Sweden,Latvia,72,82
28.06. 14:00,Syria,India,81,76
28.06. 11:30,China,South Korea,74,82
28.06. 07:10,New Zealand,Hong Kong,124,65
27.02. 04:00,USA,Puerto Rico,83,75
27.02. 01:45,Panama,Uruguay,86,75
27.02. 01:00,Cuba,Mexico,52,75
27.02. 00:00,Paraguay,Argentina,61,83
26.02. 19:00,Croatia,Netherlands,82,78
26.02. 19:00,Hungary,Poland,64,57
26.02. 18:00,Spain,Montenegro,79,67
26.02. 17:30,Latvia,Turkey,79,70
26.02. 17:30,Lithuania,Kosovo,106,50
26.02. 17:00,Jordan,Syria,87,62
26.02. 17:00,Romania,Italy,50,101
26.02. 17:00,Ukraine,Sweden,77,66
26.02. 16:30,Belarus,Slovenia,93,92
26.02. 13:30,India,Lebanon,50,90
26.02. 12:00,Hong Kong,China,58,111
26.02. 10:30,South Korea,New Zealand,84,93
26.02. 01:15,Colombia,Venezuela,62,73
26.02. 01:00,Bahamas,Canada,67,113
25.02. 23:00,Brazil,Chile,83,58
25.02. 21:30,United States Virgin Islands,Dominican Republic,85,113
25.02. 19:20,Austria,Serbia,81,82
25.02. 18:00,Mali,Nigeria,59,82
25.02. 16:30,Finland,Bulgaria,75,70
25.02. 16:00,Greece,Great Britain,75,70
25.02. 16:00,Iceland,Czech Republic,76,75
25.02. 15:30,Senegal,Mozambique,60,52
25.02. 15:30,Uganda,Rwanda,79,63
25.02. 15:00,Estonia,Israel,78,62
25.02. 15:00,Georgia,Germany,77,87
25.02. 14:30,Iran,Iraq,83,53
25.02. 14:00,France,Belgium,64,49
25.02. 14:00,Russia,Bosnia & Herzegovina,70,53
25.02. 13:00AOT,Ivory Coast,Central African Republic,62,63
25.02. 12:00,Kazakhstan,Qatar,96,63
25.02. 11:30,Philippines,Japan,89,84
25.02. 04:05,Australia,Chinese Taipei,88,68
24.02. 18:00,Mali,Uganda,79,76
24.02. 15:30,Central African Republic,Mozambique,52,59
24.02. 15:30,Nigeria,Rwanda,108,53
24.02. 13:00,Ivory Coast,Senegal,67,60
24.02. 04:00,USA,Cuba,84,48
24.02. 02:00,Mexico,Puerto Rico,80,100
24.02. 01:15,Panama,Paraguay,82,62
24.02. 00:00,Argentina,Uruguay,83,88
23.02. 19:45AOT,France,Russia,75,74
23.02. 19:45,Iceland,Finland,81,76
23.02. 19:15,Italy,Netherlands,80,62
23.02. 19:00,Bosnia & Herzegovina,Belgium,72,70
23.02. 19:00,Montenegro,Slovenia,63,75
23.02. 18:30,Germany,Serbia,79,74
23.02. 18:00,Rwanda,Mali,74,70
23.02. 18:00,Poland,Kosovo,90,62
23.02. 18:00,Sweden,Turkey,59,58
23.02. 17:45,Lithuania,Hungary,80,75
23.02. 17:30,Latvia,Ukraine,68,82
23.02. 17:00,Mozambique,Ivory Coast,66,53
23.02. 17:00,Austria,Georgia,64,78
23.02. 17:00,Croatia,Romania,56,58
23.02. 16:30,Belarus,Spain,82,84
23.02. 16:30,Greece,Estonia,87,75
