season,division,date,home,away,home_goals,away_goals,game_nr,team1_home,home_timediff,away_timediff,home_round,away_round,season_first,home_nr,away_nr
2017,1,2017-09-03,Slovenia,Greece,78,72,234,0,1,1,16,7,0,70,32
2017,1,2017-09-03,Georgia,Ukraine,81,88,235,0,1,1,14,15,0,29,81
2017,1,2017-09-03,France,Iceland,115,79,236,0,1,1,11,17,0,28,35
2017,1,2017-09-04,Serbia,Turkey,80,74,237,0,2,2,5,10,0,68,78
2017,1,2017-09-04,Montenegro,Croatia,72,76,238,0,2,3,16,7,0,53,19
2017,1,2017-09-04,Belgium,Russia,67,76,239,0,2,2,18,13,0,8,65
2017,1,2017-09-04,Hungary,Czech Republic,85,73,240,0,2,2,21,11,0,34,21
2017,1,2017-09-04,Latvia,Great Britain,97,92,241,0,2,2,9,16,0,48,31
2017,1,2017-09-05,Israel,Georgia,91,104,242,0,2,2,14,15,0,41,29
2017,1,2017-09-05,Turkey,Belgium,78,65,243,0,1,1,11,19,0,78,8
2017,1,2017-09-05,Greece,Finland,77,89,244,0,2,2,8,11,0,32,27
2017,1,2017-09-05,Italy,Germany,55,61,245,0,2,2,10,15,0,42,30
2017,1,2017-09-05,Croatia,Spain,73,79,246,0,1,3,8,12,0,19,73
2017,1,2017-09-05,Great Britain,Serbia,68,82,247,0,1,1,17,6,0,31,68
2017,1,2017-09-05,Poland,France,75,78,248,0,2,2,16,12,0,61,28
2017,1,2017-09-05,Ukraine,Lithuania,62,94,249,0,2,2,16,12,0,81,50
2017,1,2017-09-05,Czech Republic,Montenegro,75,88,250,0,1,1,12,17,0,21,53
2017,1,2017-09-05,Russia,Latvia,69,84,251,0,1,1,14,10,0,65,48
2017,1,2017-09-05,Iceland,Slovenia,75,102,252,0,2,2,18,17,0,35,70
2017,1,2017-09-06,Finland,Iceland,83,79,253,0,1,1,12,19,0,27,35
2017,1,2017-09-06,Israel,Ukraine,64,88,254,0,1,1,15,17,0,41,81
2017,1,2017-09-06,Georgia,Italy,69,71,255,0,1,1,16,11,0,29,42
2017,1,2017-09-06,Greece,Poland,95,77,256,0,1,1,9,17,0,32,61
2017,1,2017-09-06,Germany,Lithuania,72,89,257,0,1,1,16,13,0,30,50
2017,1,2017-09-06,Slovenia,France,95,78,258,0,1,1,18,13,0,70,28
2017,1,2017-09-07,Latvia,Turkey,89,79,259,0,2,2,11,12,0,48,78
2017,1,2017-09-07,Belgium,Serbia,54,74,260,0,2,2,20,7,0,8,68
2017,1,2017-09-07,Hungary,Spain,64,87,261,0,3,2,22,13,0,34,73
2017,1,2017-09-07,Czech Republic,Croatia,69,107,262,0,2,2,13,9,0,21,19
2017,1,2017-09-07,Russia,Great Britain,82,70,263,0,2,2,15,18,0,65,31
2017,1,2017-09-09,Lithuania,Greece,64,77,264,0,3,3,14,10,0,50,32
2017,1,2017-09-09,Finland,Italy,57,70,265,0,3,3,13,12,0,27,42
2017,1,2017-09-09,Germany,France,84,81,266,0,3,3,17,14,0,30,28
2017,1,2017-09-09,Slovenia,Ukraine,79,55,267,0,3,3,19,18,0,70,81
2017,1,2017-09-10,Croatia,Russia,78,101,268,0,3,3,10,16,0,19,65
