season,division,date,home,away,home_goals,away_goals,game_nr,team1_home
2017,1,2017-09-07,Latvia,Turkey,89,79,259,0
2017,1,2017-09-07,Belgium,Serbia,54,74,260,0
2017,1,2017-09-07,Hungary,Spain,64,87,261,0
2017,1,2017-09-07,Czech Republic,Croatia,69,107,262,0
2017,1,2017-09-07,Russia,Great Britain,82,70,263,0
2017,1,2017-09-09,Lithuania,Greece,64,77,264,0
2017,1,2017-09-09,Finland,Italy,57,70,265,0
2017,1,2017-09-09,Germany,France,84,81,266,0
2017,1,2017-09-09,Slovenia,Ukraine,79,55,267,0
2017,1,2017-09-10,Croatia,Russia,78,101,268,0
2017,1,2017-09-10,Spain,Turkey,73,56,269,0
2017,1,2017-09-10,Serbia,Hungary,86,78,270,0
2017,1,2017-09-10,Latvia,Montenegro,100,68,271,0
2017,1,2017-09-12,Slovenia,Latvia,103,97,272,0
2017,1,2017-09-12,Germany,Spain,72,84,273,0
2017,1,2017-09-13,Italy,Serbia,67,83,274,0
2017,1,2017-09-13,Greece,Russia,69,74,275,0
2017,1,2017-09-14,Spain,Slovenia,72,92,276,0
2017,1,2017-09-15,Russia,Serbia,79,87,277,0
2017,1,2017-09-17,Slovenia,Serbia,93,85,278,0
2017,1,2017-09-17,Spain,Russia,93,85,279,0
2017,2,2017-10-06,Saudi Arabia,Bahrain,75,72,280,1
2019,3,2017-11-23,Uruguay,Panama,86,73,281,1
2019,3,2017-11-23,Lebanon,India,107,72,282,1
2019,3,2017-11-23,Syria,Jordan,72,109,283,1
2019,3,2017-11-23,New Zealand,South Korea,80,86,284,1
2019,3,2017-11-24,Belgium,France,59,70,285,1
2019,3,2017-11-24,Great Britain,Greece,92,95,286,1
2019,3,2017-11-24,Montenegro,Spain,66,79,287,1
2019,3,2017-11-24,Netherlands,Croatia,68,61,288,1
2019,3,2017-11-24,Serbia,Austria,85,64,289,1
2019,3,2017-11-24,Germany,Georgia,79,70,290,1
2019,3,2017-11-24,Kosovo,Lithuania,61,99,291,1
2019,3,2017-11-24,Sweden,Ukraine,76,84,292,1
2019,3,2017-11-24,Bosnia & Herzegovina,Russia,81,76,293,1
2019,3,2017-11-24,Poland,Hungary,70,60,294,1
2019,3,2017-11-24,Guinea,Tunisia,56,96,295,1
2019,3,2017-11-24,Iraq,Iran,74,66,296,1
2019,3,2017-11-24,Bulgaria,Finland,80,82,297,1
2019,3,2017-11-24,Czech Republic,Iceland,89,69,298,1
2019,3,2017-11-24,Turkey,Latvia,85,73,299,1
2019,3,2017-11-24,Qatar,Kazakhstan,70,82,300,1
2019,3,2017-11-24,D.R. Congo,Egypt,61,65,301,1
2019,3,2017-11-24,Israel,Estonia,88,68,302,1
2019,3,2017-11-24,Japan,Philippines,71,77,303,1
2019,3,2017-11-24,Puerto Rico,USA,78,85,304,1
2019,3,2017-11-25,Cameroon,Guinea,116,78,305,1
2019,3,2017-11-25,Egypt,Angola,64,68,306,1
2019,3,2017-11-25,Canada,Bahamas,93,69,307,1
2019,3,2017-11-25,Venezuela,Colombia,85,71,308,1
2019,3,2017-11-25,Chile,Brazil,73,86,309,1
2019,3,2017-11-26,USA,Mexico,91,55,310,1
2019,3,2017-11-26,Panama,Argentina,59,68,311,1
2019,3,2017-11-26,Cameroon,Tunisia,66,67,312,1
2019,3,2017-11-26,Spain,Slovenia,92,84,313,1
2019,3,2017-11-26,Hungary,Kosovo,84,76,314,1
2019,3,2017-11-26,Lithuania,Poland,75,55,315,1
2019,3,2017-11-26,D.R. Congo,Angola,64,73,316,1
2019,3,2017-11-26,Jordan,Lebanon,87,83,317,1
2019,3,2017-11-26,Croatia,Italy,64,80,318,1
2019,3,2017-11-26,Ukraine,Turkey,60,67,319,1
2019,3,2017-11-26,Latvia,Sweden,82,73,320,1
2019,3,2017-11-26,India,Syria,57,74,321,1
2019,3,2017-11-26,South Korea,China,81,92,322,1
2019,3,2017-11-27,Brazil,Venezuela,72,60,323,1
2019,3,2017-11-27,France,Bosnia & Herzegovina,84,65,324,1
2019,3,2017-11-27,Iceland,Bulgaria,74,77,325,1
2019,3,2017-11-27,Austria,Germany,49,90,326,1
2019,3,2017-11-27,Serbia,Georgia,105,87,327,1
2019,3,2017-11-27,Estonia,Great Britain,73,70,328,1
2019,3,2017-11-27,Finland,Czech Republic,56,64,329,1
2019,3,2017-11-27,Greece,Israel,82,61,330,1
2019,3,2017-11-27,Kazakhstan,Iraq,82,76,331,1
2019,3,2017-11-27,Russia,Belgium,76,69,332,1
2019,3,2017-11-27,Iran,Qatar,65,39,333,1
2019,3,2017-11-27,Australia,Japan,82,58,334,1
2019,3,2017-11-28,Colombia,Chile,69,74,335,1
2019,3,2017-11-28,Dominican Republic,Canada,88,76,336,1
2019,3,2018-02-22,Brazil,Colombia,84,49,337,1
2019,3,2018-02-22,Iraq,Qatar,66,77,338,1
2019,3,2018-02-22,Kazakhstan,Iran,54,75,339,1
2019,3,2018-02-22,Australia,Philippines,84,68,340,1
2019,3,2018-02-23,France,Russia,75,74,341,1
2019,3,2018-02-23,Iceland,Finland,81,76,342,1
2019,3,2018-02-23,Italy,Netherlands,80,62,343,1
2019,3,2018-02-23,Bosnia & Herzegovina,Belgium,72,70,344,1
2019,3,2018-02-23,Montenegro,Slovenia,63,75,345,1
2019,3,2018-02-23,Germany,Serbia,79,74,346,1
2019,3,2018-02-23,Poland,Kosovo,90,62,347,1
2019,3,2018-02-23,Sweden,Turkey,59,58,348,1
2019,3,2018-02-23,Lithuania,Hungary,80,75,349,1
2019,3,2018-02-23,Latvia,Ukraine,68,82,350,1
2019,3,2018-02-23,Austria,Georgia,64,78,351,1
2019,3,2018-02-23,Greece,Estonia,87,75,352,1
2019,3,2018-02-23,Bulgaria,Czech Republic,76,78,353,1
2019,3,2018-02-23,Uganda,Nigeria,86,102,354,1
2019,3,2018-02-23,Syria,Lebanon,63,87,355,1
2019,3,2018-02-23,Senegal,Central African Republic,70,65,356,1
2019,3,2018-02-23,India,Jordan,88,102,357,1
2019,3,2018-02-23,Israel,Great Britain,82,75,358,1
2019,3,2018-02-23,China,New Zealand,73,82,359,1
2019,3,2018-02-23,Bahamas,Dominican Republic,63,96,360,1
2019,3,2018-02-23,Venezuela,Chile,77,56,361,1
2019,3,2018-02-24,Ivory Coast,Senegal,67,60,362,1
2019,3,2018-02-24,Mexico,Puerto Rico,80,100,363,1
2019,3,2018-02-24,Argentina,Uruguay,83,88,364,1
2019,3,2018-02-25,Brazil,Chile,83,58,365,1
2019,3,2018-02-25,Austria,Serbia,81,82,366,1
2019,3,2018-02-25,Finland,Bulgaria,75,70,367,1
2019,3,2018-02-25,Greece,Great Britain,75,70,368,1
2019,3,2018-02-25,Iceland,Czech Republic,76,75,369,1
2019,3,2018-02-25,Estonia,Israel,78,62,370,1
2019,3,2018-02-25,Georgia,Germany,77,87,371,1
2019,3,2018-02-25,Iran,Iraq,83,53,372,1
2019,3,2018-02-25,France,Belgium,64,49,373,1
2019,3,2018-02-25,Russia,Bosnia & Herzegovina,70,53,374,1
2019,3,2018-02-25,Ivory Coast,Central African Republic,62,63,375,1
2019,3,2018-02-25,Kazakhstan,Qatar,96,63,376,1
2019,3,2018-02-25,Philippines,Japan,89,84,377,1
2019,3,2018-02-26,Croatia,Netherlands,82,78,378,1
2019,3,2018-02-26,Hungary,Poland,64,57,379,1
2019,3,2018-02-26,Spain,Montenegro,79,67,380,1
2019,3,2018-02-26,Latvia,Turkey,79,70,381,1
2019,3,2018-02-26,Lithuania,Kosovo,106,50,382,1
2019,3,2018-02-26,Jordan,Syria,87,62,383,1
2019,3,2018-02-26,Ukraine,Sweden,77,66,384,1
2019,3,2018-02-26,India,Lebanon,50,90,385,1
2019,3,2018-02-26,South Korea,New Zealand,84,93,386,1
2019,3,2018-02-26,Colombia,Venezuela,62,73,387,1
2019,3,2018-02-26,Bahamas,Canada,67,113,388,1
2019,3,2018-02-27,USA,Puerto Rico,83,75,389,1
2019,3,2018-02-27,Panama,Uruguay,86,75,390,1
2018,2,2018-06-15,Japan,South Korea,88,80,391,1
2018,2,2018-06-17,Japan,South Korea,87,99,392,1
2018,2,2018-06-18,Cameroon,Saudi Arabia,76,59,393,1
2018,2,2018-06-18,Jordan,Uganda,91,75,394,1
2018,2,2018-06-19,Jordan,Cameroon,74,79,395,1
2018,2,2018-06-19,Cyprus,Lebanon,53,74,396,1
2018,2,2018-06-19,Saudi Arabia,Iraq,56,71,397,1
2018,2,2018-06-21,Estonia,Finland,69,76,398,1
2018,2,2018-06-21,Bulgaria,Tunisia,81,61,399,1
2018,2,2018-06-22,Croatia,Bosnia & Herzegovina,88,75,400,1
2018,2,2018-06-22,Ireland,Luxembourg,82,67,401,1
2018,2,2018-06-22,Czech Republic,Georgia,71,57,402,1
2018,2,2018-06-22,Bulgaria,Tunisia,84,87,403,1
2018,2,2018-06-22,Israel,Ukraine,83,85,404,1
2018,2,2018-06-23,Ireland,Luxembourg,93,97,405,1
2018,2,2018-06-25,Latvia,Russia,71,79,406,1
2018,2,2018-06-25,Finland,Estonia,95,76,407,1
2019,3,2018-06-28,Italy,Croatia,72,78,408,1
2019,3,2018-06-28,Lebanon,Jordan,77,76,409,1
2019,3,2018-06-28,Kosovo,Hungary,65,81,410,1
2019,3,2018-06-28,Slovenia,Spain,72,83,411,1
2019,3,2018-06-28,Poland,Lithuania,61,79,412,1
2019,3,2018-06-28,Turkey,Ukraine,80,66,413,1
2019,3,2018-06-28,Israel,Greece,78,96,414,1
2019,3,2018-06-28,Sweden,Latvia,72,82,415,1
2019,3,2018-06-28,Syria,India,81,76,416,1
2019,3,2018-06-28,China,South Korea,74,82,417,1
2019,3,2018-06-29,Canada,Dominican Republic,97,61,418,1
2019,3,2018-06-29,Venezuela,Brazil,72,56,419,1
2019,3,2018-06-29,Tunisia,Guinea,94,54,420,1
2019,3,2018-06-29,Nigeria,Uganda,109,66,421,1
2019,3,2018-06-29,Central African Republic,Senegal,82,91,422,1
2019,3,2018-06-29,Belgium,Russia,66,84,423,1
2019,3,2018-06-29,Bosnia & Herzegovina,France,52,102,424,1
2019,3,2018-06-29,Great Britain,Estonia,74,65,425,1
2019,3,2018-06-29,Egypt,D.R. Congo,63,77,426,1
2019,3,2018-06-29,Germany,Austria,85,63,427,1
2019,3,2018-06-29,Iraq,Kazakhstan,64,50,428,1
2019,3,2018-06-29,Czech Republic,Finland,77,73,429,1
2019,3,2018-06-29,Bulgaria,Iceland,88,86,430,1
2019,3,2018-06-29,Georgia,Serbia,50,87,431,1
2019,3,2018-06-29,Qatar,Iran,75,77,432,1
2019,3,2018-06-29,Japan,Australia,79,78,433,1
2019,3,2018-06-29,Mexico,USA,78,70,434,1
2019,3,2018-06-29,Argentina,Panama,87,62,435,1
2019,3,2018-06-30,Senegal,Ivory Coast,66,61,436,1
2019,3,2018-06-30,Angola,Egypt,65,58,437,1
2019,3,2018-06-30,Guinea,Cameroon,48,65,438,1
2019,3,2018-06-30,Chile,Colombia,67,71,439,1
2019,3,2018-07-01,Puerto Rico,Mexico,84,79,440,1
2019,3,2018-07-01,Uruguay,Argentina,58,102,441,1
2019,3,2018-07-01,Tunisia,Cameroon,56,53,442,1
2019,3,2018-07-01,Lebanon,Syria,87,50,443,1
2019,3,2018-07-01,Kosovo,Poland,70,103,444,1
2019,3,2018-07-01,Hungary,Lithuania,50,73,445,1
2019,3,2018-07-01,Slovenia,Montenegro,74,87,446,1
2019,3,2018-07-01,Central African Republic,Ivory Coast,69,60,447,1
2019,3,2018-07-01,Jordan,India,114,70,448,1
2019,3,2018-07-01,Netherlands,Italy,81,66,449,1
2019,3,2018-07-01,Angola,D.R. Congo,56,66,450,1
2019,3,2018-07-01,Turkey,Sweden,77,52,451,1
2019,3,2018-07-01,Ukraine,Latvia,71,93,452,1
2019,3,2018-07-01,New Zealand,China,67,57,453,1
2019,3,2018-07-02,Colombia,Brazil,71,98,454,1
